Country,Capital,Lat,Long,Continent
Afghanistan,Kabul,34.51666667,69.183333,Asia
Aland Islands,Mariehamn,60.116667,19.9,Europe
Albania,Tirana,41.31666667,19.816667,Europe
Algeria,Algiers,36.75,3.05,Africa
American Samoa,Pago Pago,-14.26666667,-170.7,Australia
Andorra,Andorra la Vella,42.5,1.516667,Europe
Angola,Luanda,-8.833333333,13.216667,Africa
Anguilla,The Valley,18.21666667,-63.05,North America
Antarctica,N/A,0,0,Antarctica
Antigua and Barbuda,Saint John’s,17.11666667,-61.85,North America
Argentina,Buenos Aires,-34.58333333,-58.666667,South America
Armenia,Yerevan,40.16666667,44.5,Europe
Aruba,Oranjestad,12.51666667,-70.033333,North America
Australia,Canberra,-35.26666667,149.133333,Australia
Austria,Vienna,48.2,16.366667,Europe
Azerbaijan,Baku,40.38333333,49.866667,Europe
Bahamas,Nassau,25.08333333,-77.35,North America
Bahrain,Manama,26.23333333,50.566667,Asia
Bangladesh,Dhaka,23.71666667,90.4,Asia
Barbados,Bridgetown,13.1,-59.616667,North America
Belarus,Minsk,53.9,27.566667,Europe
Belgium,Brussels,50.83333333,4.333333,Europe
Belize,Belmopan,17.25,-88.766667,Central America
Benin,Porto-Novo,6.483333333,2.616667,Africa
Bermuda,Hamilton,32.28333333,-64.783333,North America
Bhutan,Thimphu,27.46666667,89.633333,Asia
Bolivia,La Paz,-16.5,-68.15,South America
Bosnia and Herzegovina,Sarajevo,43.86666667,18.416667,Europe
Botswana,Gaborone,-24.63333333,25.9,Africa
Brazil,Brasilia,-15.78333333,-47.916667,South America
British Indian Ocean Territory,Diego Garcia,-7.3,72.4,Africa
British Virgin Islands,Road Town,18.41666667,-64.616667,North America
Brunei Darussalam,Bandar Seri Begawan,4.883333333,114.933333,Asia
Bulgaria,Sofia,42.68333333,23.316667,Europe
Burkina Faso,Ouagadougou,12.36666667,-1.516667,Africa
Burundi,Bujumbura,-3.366666667,29.35,Africa
Cambodia,Phnom Penh,11.55,104.916667,Asia
Cameroon,Yaounde,3.866666667,11.516667,Africa
Canada,Ottawa,45.41666667,-75.7,Central America
Cape Verde,Praia,14.91666667,-23.516667,Africa
Cayman Islands,George Town,19.3,-81.383333,North America
Central African Republic,Bangui,4.366666667,18.583333,Africa
Chad,N’Djamena,12.1,15.033333,Africa
Chile,Santiago,-33.45,-70.666667,South America
